run_accession	fastq_ftp
SRR2917306	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917306/SRR2917306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917306/SRR2917306_2.fastq.gz
SRR2917307	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917307/SRR2917307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917307/SRR2917307_2.fastq.gz
SRR2917308	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917308/SRR2917308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917308/SRR2917308_2.fastq.gz
SRR2917309	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917309/SRR2917309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917309/SRR2917309_2.fastq.gz
SRR2917310	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917310/SRR2917310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917310/SRR2917310_2.fastq.gz
SRR2917311	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917311/SRR2917311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917311/SRR2917311_2.fastq.gz
SRR2917312	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2917312/SRR2917312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2917312/SRR2917312_2.fastq.gz
SRR2917313	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2917313/SRR2917313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2917313/SRR2917313_2.fastq.gz
SRR2917314	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/004/SRR2917314/SRR2917314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/004/SRR2917314/SRR2917314_2.fastq.gz
SRR2917315	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/005/SRR2917315/SRR2917315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/005/SRR2917315/SRR2917315_2.fastq.gz
SRR2917316	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917316/SRR2917316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917316/SRR2917316_2.fastq.gz
SRR2917317	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917317/SRR2917317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917317/SRR2917317_2.fastq.gz
SRR2917318	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917318/SRR2917318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917318/SRR2917318_2.fastq.gz
SRR2917319	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917319/SRR2917319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917319/SRR2917319_2.fastq.gz
SRR2917320	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917320/SRR2917320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917320/SRR2917320_2.fastq.gz
SRR2917321	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917321/SRR2917321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917321/SRR2917321_2.fastq.gz
SRR2917322	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2917322/SRR2917322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2917322/SRR2917322_2.fastq.gz
SRR2917323	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2917323/SRR2917323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2917323/SRR2917323_2.fastq.gz
SRR2917324	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/004/SRR2917324/SRR2917324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/004/SRR2917324/SRR2917324_2.fastq.gz
SRR2917325	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/005/SRR2917325/SRR2917325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/005/SRR2917325/SRR2917325_2.fastq.gz
SRR2917326	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917326/SRR2917326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917326/SRR2917326_2.fastq.gz
SRR2917327	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917327/SRR2917327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917327/SRR2917327_2.fastq.gz
SRR2917328	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917328/SRR2917328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917328/SRR2917328_2.fastq.gz
SRR2917329	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917329/SRR2917329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917329/SRR2917329_2.fastq.gz
SRR2917330	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917330/SRR2917330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917330/SRR2917330_2.fastq.gz
SRR2917331	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917331/SRR2917331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917331/SRR2917331_2.fastq.gz
SRR2917332	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2917332/SRR2917332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2917332/SRR2917332_2.fastq.gz
SRR2917333	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2917333/SRR2917333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2917333/SRR2917333_2.fastq.gz
SRR2917334	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/004/SRR2917334/SRR2917334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/004/SRR2917334/SRR2917334_2.fastq.gz
SRR2917335	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/005/SRR2917335/SRR2917335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/005/SRR2917335/SRR2917335_2.fastq.gz
SRR2917336	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917336/SRR2917336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917336/SRR2917336_2.fastq.gz
SRR2917337	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917337/SRR2917337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917337/SRR2917337_2.fastq.gz
SRR2917338	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917338/SRR2917338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917338/SRR2917338_2.fastq.gz
